nro,id,model,name,sequence,ifrs_id,type,invisible,operand_ids,acc_val,analytic_ids,total_ids,value,cons_ids,inv_sign,comment
1,1_1,ifrs.lines,P&L,10,,abstract,False,[],fy,[],[],balance,[],False,
1,1_2,ifrs.lines,Sales revenue,20,,detail,False,[],fy,[],[],balance,[],False,
1,1_3,ifrs.lines,Salaries and employee benefits,30,,detail,False,[],fy,[],[],balance,[],False,
1,1_4,ifrs.lines,Sales costs incl. commissions,40,,detail,False,[],fy,[],[],balance,[],False,
1,1_5,ifrs.lines,Other operanting expenses,50,,detail,False,[],fy,[],[],balance,[],False,
1,1_6,ifrs.lines,Total P&L,60,,total,False,[],fy,[],[],balance,[],False,
1,1_7,ifrs.lines,B/S,70,,abstract,False,[],fy,[],[],balance,[],False,
1,1_8,ifrs.lines,Inventories,80,,detail,False,[],fy,[],[],balance,[],False,
1,1_9,ifrs.lines,External trade receivables (AR),90,,detail,False,[],fy,[],[],balance,[],False,
1,1_10,ifrs.lines,Other receivables,100,,detail,False,[],fy,[],[],balance,[],False,
1,1_11,ifrs.lines,Other current liabilities,110,,detail,False,[],fy,[],[],balance,[],False,
1,1_12,ifrs.lines,Total B/S,120,,total,False,[],fy,[],[],balance,[],False,
1,1_13,ifrs.lines,KPI's,130,,abstract,False,[],fy,[],[],balance,[],False,
1,1_14,ifrs.lines,Number of customers* in portfolio,140,,detail,False,[],fy,[],[],balance,[],False,Negotiation are on with others. NDA signed commercial discussion are in progress
1,1_15,ifrs.lines,Average penetration among customers* in portfolio (%),150,,detail,False,[],fy,[],[],balance,[],False,
1,1_16,ifrs.lines,Hectare potential from customers* (in 1000 Has),160,,detail,False,[],fy,[],[],balance,[],False,
1,1_17,ifrs.lines,Number of potential customers targeted,170,,detail,False,[],fy,[],[],balance,[],False,
1,1_18,ifrs.lines,Number of commercial trials,180,,detail,False,[],fy,[],[],balance,[],False,Commercial an University trials to start from June / July 2013
1,1_19,ifrs.lines,Number of new commercial deals,190,,detail,False,[],fy,[],[],balance,[],False,
1,1_20,ifrs.lines,Cash collection (% of AR opening balance and sales),200,,detail,False,[],fy,[],[],balance,[],False,
1,1_21,ifrs.lines,Cash collection (in local currency),210,,detail,False,[],fy,[],[],balance,[],False,
1,1_22,ifrs.lines,Total KPI's,220,,total,False,[],fy,[],[],balance,[],False,
2,2_1,ifrs.lines,Opening cash balance,10,,total,False,[],fy,[],[],balance,[],False,
2,2_2,ifrs.lines,Cash inflow,20,,abstract,False,[],fy,[],[],balance,[],False,
2,2_3,ifrs.lines,Collection of previous year and this year's sales,30,,detail,False,[],fy,[],[],balance,[],False,
2,2_4,ifrs.lines,Share application money/ Long tem finance from Group companies,40,,detail,False,[],fy,[],[],balance,[],False,
2,2_5,ifrs.lines,Repayment of loans to external distributors,50,,detail,False,[],fy,[],[],balance,[],False,
2,2_6,ifrs.lines,Total Cash inflow,60,,total,True,[],fy,[],[],balance,[],False,
2,2_7,ifrs.lines,Cash outflow (i.e paid expenses),70,,abstract,False,[],fy,[],[],balance,[],False,
2,2_8,ifrs.lines,Salaries and employee benefits,80,,detail,False,[],fy,[],[],balance,[],False,
2,2_9,ifrs.lines,Sales costs,90,,detail,False,[],fy,[],[],balance,[],False,
2,2_10,ifrs.lines,Sales commissions paid in cash,100,,detail,False,[],fy,[],[],balance,[],False,
2,2_11,ifrs.lines,Other operational expenses,110,,detail,False,[],fy,[],[],balance,[],False,
2,2_12,ifrs.lines,Taxes,120,,detail,False,[],fy,[],[],balance,[],False,
2,2_13,ifrs.lines,Investments in Tangible Assets,130,,detail,False,[],fy,[],[],balance,[],False,
2,2_14,ifrs.lines,Financing of external distributors,140,,detail,False,[],fy,[],[],balance,[],False,
2,2_15,ifrs.lines,Other advances and deposits with vendors,150,,detail,False,[],fy,[],[],balance,[],False,
2,2_16,ifrs.lines,COGS and inventory,160,,detail,False,[],fy,[],[],balance,[],False,
2,2_17,ifrs.lines,Total Cash outflow,170,,total,True,[],fy,[],[],balance,[],True,
2,2_18,ifrs.lines,Closing cash balance,180,,total,False,[],fy,[],[],balance,[],False,

